texto,label,Author,predicao,acerto,label_nome,predicao_nome
"um rio profundo. Por fim, os peixes na travessa, vamos dormir. Coisas prateadas espocam: somos noivo e noiva.",0,Adélia Prado,1,0,Não Portinari,Portinari
"em ninguém me ralhar. Adeus, que me cuido, vou campear nos becos, moa de moços no bar, violão e olhos difíceis de sair de mim. Quando esta nossa cidade ressonar em neblina, os moços marianos vão me esperar na matriz.",0,Adélia Prado,0,1,Não Portinari,Não Portinari
o fumo engolia e não enxergava Ao que era tudo voltava O sol lá longe nas alturas iluminava Suave através de densas camadas As nuvens que se esgarçavam esbranquiçadas A luz do sol filtrava Exuberante a pequena erva se engalanava,1,,1,1,Portinari,Portinari
"longa estrada celeste onde só o sofredor é bem-vindo Os raios, o céu encoberto, as tempestades e a trovoada Homenageando te fazendo feriado. Lá estarão o sol e a lua E o arco-íris enchendo o firmamento com o brilho de",1,,1,1,Portinari,Portinari
"à beira de um poema Podei a roseira no momento certo e viajei muitos dias, aprendendo de vez que se deve esperar biblicamente pela hora das coisas. Quando abri a janela, vi-a, como nunca a vira constelada, os botões, Alguns",0,Adélia Prado,0,1,Não Portinari,Não Portinari
"Hoje acabou-se-me a palavra, e nenhuma lágrima vem. Ai, se a vida se me acabara também! A profusão do mundo, imensa, tem tudo, tudo - e nada tem. Onde repousar a cabeça? No além? Fala-se com os homens, com os",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"À noite, viajando pela estrada solitária montando O Negrinho, sentia uma sensação de paz. As estrelas cintilavam clareando a campina. O céu, com seus milhões de lumes, Tirava da penumbra vultos de formas variadas. Assim, acompanhado, o medo não viria.",1,,1,1,Portinari,Portinari
"Pus o meu sonho num navio e o navio em cima do mar; - depois, abri o mar com as mãos, para o meu sonho naufragar Minhas mãos ainda estão molhadas do azul das ondas entreabertas, e a cor que",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
"ou a luz? Confuso ancorei aqui em frente Ao mar. Não saí mais e não interroguei Esqueci e a memória acabou O que vejo não sei o nome Vazio, poderia dobrar-me como Folha de papel e caberia em Meu bolso.",1,,1,1,Portinari,Portinari
"Os gatos brancos, descoloridos, passeiam pela tinturaria, miram policromos vestidos. Com soberana melancolia, brota nos seus olhos erguidos o arco-íris, resumo do dia, ressuscitando dos seus olvidos, onde apagado cada um jazia, abstratos lumes sucumbidos. No vasto chão da tinturaria,",0,Cecília Meireles,0,1,Não Portinari,Não Portinari
